Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
JUG,-0.970085311,33.11274979,74.11927736,DEPRECATED,AHI_ERA_JOB_PLY_RIB_NIL_SOY_MOP,AHI-JUG_ERA-JUG_JOB-JUG_JUG-PLY_JUG-RIB_JUG-NIL_JUG-SOY_JUG-MOP,DEPRECATED,DEPRECATED,0,outer,mid
GET,-12.52008531,-135.3728802,-31.72499264,DEPRECATED,CAB_COP_DAD_FOR_OAK_HIP_RUG_WOW_NEW,CAB-GET_COP-GET_DAD-GET_FOR-GET_GET-OAK_GET-HIP_GET-RUG_GET-WOW_GET-NEW,DEPRECATED,DEPRECATED,1,inner,left
ROB,40.37691469,-136.2068802,-20.53644264,DEPRECATED,AMP_CAB_DAD_GEL_OAK_SEX,AMP-ROB_CAB-ROB_DAD-ROB_GEL-ROB_OAK-ROB_ROB-SEX,DEPRECATED,DEPRECATED,0,outer,right
NIX,19.00191469,137.3543198,-64.84222564,DEPRECATED,LEG_SPY_OVA_WHO_PIE,LEG-NIX_NIX-SPY_NIX-OVA_NIX-WHO_NIX-PIE,DEPRECATED,DEPRECATED,1,inner,right
AMP,50.61791469,-112.2998802,-40.87118264,DEPRECATED,ROB_SEX_YAY_SAW_CAB,AMP-ROB_AMP-SEX_AMP-YAY_AMP-SAW_AMP-CAB,DEPRECATED,DEPRECATED,1,outer,right
BUG,-56.02888531,-64.87048021,41.49267736,DEPRECATED,ACT_ART_ASH_YAK_LAB_TAU_LAM_ZAP_NOR_LAX_COY_GOO_FIG,ACT-BUG_ART-BUG_ASH-BUG_BUG-YAK_BUG-LAB_BUG-TAU_BUG-LAM_BUG-ZAP_BUG-NOR_BUG-LAX_BUG-COY_BUG-GOO_BUG-FIG,DEPRECATED,DEPRECATED,0,inner,left
GEL,51.99691469,-129.2448802,11.94735736,DEPRECATED,DAD_EAR_SEX_PHI_ROB_MOO,DAD-GEL_EAR-GEL_GEL-SEX_GEL-PHI_GEL-ROB_GEL-MOO,DEPRECATED,DEPRECATED,0,outer,right
FOR,-3.312085311,-153.0888802,-7.293152644,DEPRECATED,DAD_EGG_OAK_GET_RUG_HIP,DAD-FOR_EGG-FOR_FOR-OAK_FOR-GET_FOR-RUG_FOR-HIP,DEPRECATED,DEPRECATED,0,outer,mid
TAU,-19.07338531,-48.42398021,64.42357736,DEPRECATED,ACT_BUG_FOG_LAB_LAM_LAW_LIE_OLD_SOY_TRY_ZAP,ACT-TAU_BUG-TAU_FOG-TAU_LAB-TAU_LAM-TAU_LAW-TAU_LIE-TAU_OLD-TAU_SOY-TAU_TAU-TRY_TAU-ZAP,DEPRECATED,DEPRECATED,0,inner,left
SHY,-27.20728531,119.2605198,12.98205736,DEPRECATED,BOA_DRY_HOW_INK_OIL_REF_RUM,BOA-SHY_DRY-SHY_HOW-SHY_INK-SHY_OIL-SHY_REF-SHY_RUM-SHY,DEPRECATED,DEPRECATED,0,outer,left
WOW,-57.83488531,-126.2468802,-12.31965264,DEPRECATED,COP_ELK_GET_GOO_HIP_KEY_NEW_NOR_RUG_SAD_USE_WIG,COP-WOW_ELK-WOW_GET-WOW_GOO-WOW_HIP-WOW_KEY-WOW_NEW-WOW_NOR-WOW_RUG-WOW_SAD-WOW_USE-WOW_WIG-WOW,DEPRECATED,DEPRECATED,0,inner,left
FOX,110.1719147,6.915579785,-32.42415264,DEPRECATED,BOY_ETA_SKY_IVY_TUX_TAG,BOY-FOX_ETA-FOX_FOX-SKY_FOX-IVY_FOX-TUX_FOX-TAG,DEPRECATED,DEPRECATED,0,outer,right
ZOO,51.68991469,-79.12338021,48.45917736,DEPRECATED,COW_EAR_FAX_JAM_LIE_WAS,COW-ZOO_EAR-ZOO_FAX-ZOO_JAM-ZOO_LIE-ZOO_WAS-ZOO,DEPRECATED,DEPRECATED,0,outer,right
TRY,-34.70618531,-24.54718021,74.86097736,DEPRECATED,ACT_DUH_FOG_LAM_SOY_TAU,ACT-TRY_DUH-TRY_FOG-TRY_LAM-TRY_SOY-TRY_TAU-TRY,DEPRECATED,DEPRECATED,0,outer,left
FOG,-9.866085311,-26.36488021,80.75277736,DEPRECATED,TAU_LAW_TRY_RIB_SOY_OLD,FOG-TAU_FOG-LAW_FOG-TRY_FOG-RIB_FOG-SOY_FOG-OLD,DEPRECATED,DEPRECATED,0,outer,left
NOM,74.03091469,80.67599979,-2.283252644,DEPRECATED,ACE_ARM_BIO_BRO_DIG_DUI_ELF_GUN_HIT_JOY_WET_SPY,ACE-NOM_ARM-NOM_BIO-NOM_BRO-NOM_DIG-NOM_DUI-NOM_ELF-NOM_GUN-NOM_HIT-NOM_JOY-NOM_NOM-WET_NOM-SPY,DEPRECATED,DEPRECATED,0,inner,right
MOP,-36.73838531,27.13598979,66.94657736,DEPRECATED,DUH_FAN_JUG_SOY_NAN_PLY,DUH-MOP_FAN-MOP_JUG-MOP_MOP-SOY_MOP-NAN_MOP-PLY,DEPRECATED,DEPRECATED,0,outer,left
WIZ,-90.41578531,56.02658979,22.99079736,DEPRECATED,FLY_GIN_SAY_TAX_VOW_ZZZ,FLY-WIZ_GIN-WIZ_SAY-WIZ_TAX-WIZ_VOW-WIZ_WIZ-ZZZ,DEPRECATED,DEPRECATED,0,outer,left
VOW,-62.19488531,63.02920979,32.61737736,DEPRECATED,DRY_FAN_FLY_FUN_GIN_NAN_OIL_PLY_REF_TAX_WIZ_ZZZ,DRY-VOW_FAN-VOW_FLY-VOW_FUN-VOW_GIN-VOW_NAN-VOW_OIL-VOW_PLY-VOW_REF-VOW_TAX-VOW_VOW-WIZ_VOW-ZZZ,DEPRECATED,DEPRECATED,0,inner,left
