jascha name 1,jascha name 2,jascha (new) bar,brian 1,brian 2,brian (old) bar,length (text from sticker),length (decimal),step,is this bar needed on 1/10/2015?
ACE,HIT,"ACE,HIT",ace,hit,"ace,hit",34.8,34.8,215,1
YAY,SAW,"YAY,SAW",got,die,"got,die",34.8,34.8,638,
OFF,ORC,"OFF,ORC",add,ale,"add,ale",34.8,34.8,649,1
WHO,RAW,"WHO,RAW",pod,too,"pod,too",34 7/8,34.875,644,
RUM,INK,"RUM,INK",gnu,pub,"gnu,pub",34 7/8,34.875,360,
LIE,OLD,"LIE,OLD",lie,hen,"lie,hen",34.9,34.9,128,
ADO,WAR,"ADO,WAR",ado,pow,"ado,pow",34.9,34.9,72,1
PIG,JAM,"PIG,JAM",pig,tot,"pig,tot",34.9,34.9,247,
SPY,LEG,"SPY,LEG",lot,doe,"lot,doe",34.9,34.9,472,
TAG,FOX,"TAG,FOX",tag,max,"tag,max",34.9,34.9,559,
WOW,SAD,"WOW,SAD",abs,did,"abs,did",35,35,496,1
PRO,YAK,"PRO,YAK",pro,til,"pro,til",35,35,299,
COW,ZOO,"COW,ZOO",cow,are,"cow,are",35,35,259,
GIG,FAX,"GIG,FAX",gig,the,"gig,the",35,35,93,
VOW,FUN,"VOW,FUN",dab,him,"dab,him",35,35,150,
LID,EGO,"LID,EGO",lid,rap,"lid,rap",35,35,683,
EAR,PHI,"EAR,PHI",lye,quo,"lye,quo",35,35,309,
NOM,JOY,"NOM,JOY",cut,and,"cut,and",35.1,35.1,319,
ELF,RAD,"ELF,RAD",tan,rad,"tan,rad",35.1,35.1,272,
HIP,NEW,"HIP,NEW",hip,ten,"hip,ten",35.1,35.1,624,
PAY,WIN,"PAY,WIN",pup,dud,"pup,dud",35.1,35.1,614,
BUG,LAM,"BUG,LAM",tap,ram,"tap,ram",35.2,35.2,184,
TAX,OAR,"TAX,OAR",tax,hey,"tax,hey",35.2,35.2,333,
